Nom_du_festival,Code_postal_(de_la_commune_principale_de_deroulement),Commune_principale_de_deroulement,Region_principale_de_deroulement,Annee_de_creation_du_festival,Discipline_dominante,Site_internet_du_festival,Latitude,Longitude,Debut,Fin
Môm'En Scène,68120,Pfastatt,Grand Est,1996,Spectacle vivant,www.la-bobine.org,47.7696767881,7.29485630306,janvier,juin
Festival De La Basse Cour,30250,Junas,Occitanie,2008,Spectacle vivant,https://www.labassecour.com/,43.7615067362,4.11752159876,janvier,juin
Ma Rue Prend L'Aire,55260,Pierrefitte-sur-Aire,Grand Est,2001,Spectacle vivant,www.marueprendlaire.org,48.9069676213,5.34860611914,janvier,juin
La Fête De L'Humanité,93120,La Courneuve,Île-de-France,1930,Pluridisciplinaire,fete.humanite.fr,48.9322569546,2.39978064801,septembre,décembre
Les Rencontres Internationales De Théâtre En Corse,20259,Pioggiola,Corse,1998,Spectacle vivant,www.ariacorse.net,42.5232293967,8.97529988566,juin,septembre
L'Horizon Fait Le Mur,17170,La Laigne,Nouvelle-Aquitaine,2017,Spectacle vivant,http://www.l-horizon.fr/,46.2156875435,-0.755573639604,juin,septembre
Kergré En Juin,22970,Ploumagoar,Bretagne,2012,Pluridisciplinaire,ville-ploumagoar.fr,48.5304587178,-3.109565675,janvier,juin
Bolegal'Sol,11700,La Redorte,Occitanie,2017,Pluridisciplinaire,http://musicalsol.fr/nos-concerts/lo-bolegal-sol/,43.2477384944,2.64987073042,janvier,juin
Émissions De Spores,86000,Poitiers,Nouvelle-Aquitaine,2018,Spectacle vivant,http://www.arlette-moreau.com/,46.5839207726,0.359947653003,janvier,juin
Le Chahut Vert,80290,Poix-de-Picardie,Hauts-de-France,2013,Spectacle vivant,www.lechahutvert.fr/,49.7485829077,1.97952156568,juin,septembre
Jazz'Alp Festival,38350,L'Alpe-du-Grand-Serre,Auvergne-Rhône-Alpes,2017,Musique,WWW.jazzalp.fr,45.2625506689,5.10224795583,janvier,juin
Salon Du Livre Du Grand Genève,74160,Présilly,Auvergne-Rhône-Alpes,2016,"Livre, littérature",https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/2121,46.0850070124,6.09107599342,septembre,décembre
Terra Festival,97129,Lamentin,Guadeloupe,2004,"Cinéma, audiovisuel",www.terrafestival.org,14.6247600105,-60.9933549815,janvier,juin
Le Petit Festival Culturel De Puyloubier,13114,Puyloubier,Provence-Alpes-Côte d'Azur,1999,Spectacle vivant,http://www.puyloubier.com/,43.5186378192,5.67758737833,juin,septembre
Puym'Jazz,47270,Puymirol,Nouvelle-Aquitaine,2003,Musique,http://www.puymjazz.com/,44.1878890197,0.805532157902,juin,septembre
Voyages Insolites,29000,Quimper,Bretagne,2017,"Cinéma, audiovisuel",Quartier du Braden,47.9971425162,-4.09111944455,janvier,juin
Larockéenne Des Alberes,66740,Laroque-des-Albères,Occitanie,2014,Musique,https://anglophone-direct.com/event/festival-larockeenne-des-alberes/,42.5116805013,2.93303085148,juin,septembre
Lunatic Festival,25440,Quingey,Bourgogne-Franche-Comté,2014,Spectacle vivant,https://www.associationmallunee.com/lunatic-festival,47.1025398446,5.88098542141,septembre,décembre
Les Arts Dans La Rue,41700,Le Controis-en-Sologne,Centre-Val de Loire,2010,Pluridisciplinaire,https://culture.controis-en-sologne.fr/arts-dans-la-rue/,47.4210455026,1.43621364655,juin,septembre
Cinémâts,31520,Ramonville-Saint-Agne,Occitanie,2017,Spectacle vivant,www.artsabord.com,43.5441837911,1.47782372823,juin,septembre
Ateliers D'Artistes,51100,Reims,Grand Est,2010,"Arts visuels, arts numériques",https://www.reims.fr/culture-patrimoine/festival-et-evenements/ateliers-dartistes-2020-7482.html,49.2514906066,4.0402302322,janvier,juin
Born To Be A Live,51100,Reims,Grand Est,2016,Spectacle vivant,www.manege-reims.eu,49.2514906066,4.0402302322,septembre,décembre
Journées De La Bd,44640,Le Pellerin,Pays de la Loire,1992,"Livre, littérature",www.journeesbd.fr,47.2229017049,-1.8250130027,janvier,juin
K-Barré,35000,Rennes,Bretagne,2003,Pluridisciplinaire,http://k-barre.net (changement à venir),48.1119791219,-1.68186449144,janvier,juin
Biennale De Jazz Du Perreux,94170,Le Perreux-sur-Marne,Île-de-France,2016,Musique,www.cdbm.org,48.8423952383,2.50406848573,janvier,juin
Rues Et Vous,33410,Rions,Nouvelle-Aquitaine,2007,Spectacle vivant,http://www.festivalruesetvous.net/,44.6684320932,-0.336471805521,juin,septembre
Interfolk,43000,Le Puy-en-Velay,Auvergne-Rhône-Alpes,1964,Spectacle vivant,www.interfolk.fr,45.0276366659,3.89535229067,juin,septembre
Festival Des Orgues Cavaillé-Coll,76000,Rouen,Normandie,2019,Musique,https://www.festivaldesorguescavaillecoll.com/,49.4413460103,1.09256784278,juin,septembre
Le Kraken,85100,Les Sables-d'Olonne,Pays de la Loire,2019,Musique,https://www.instagram.com/lekrakenfestival/,46.5007612799,-1.79255128677,juin,septembre
Le Mangeur De Lune - Festival Des Musiques Du Monde,68250,Rouffach,Grand Est,2006,Musique,lesmangeursdelune.fr,47.9688422434,7.27338874141,juin,septembre
Festival Du Film D'Animation,1800,Meximieux,Auvergne-Rhône-Alpes,2006,"Cinéma, audiovisuel",www.cinehorloge.fr,45.9060530318,5.20404833653,septembre,décembre
Comédies Coquillages Et Crustacés,17200,Royan,Nouvelle-Aquitaine,2016,Spectacle vivant,http://www.ville-royan.fr/,45.6346574238,-1.01791403375,janvier,juin
Vague De Jazz,85100,Les Sables-d'Olonne,Pays de la Loire,2002,Musique,www.vaguedejazz,46.5007612799,-1.79255128677,juin,septembre
Itinéraires En Morbihan,56400,Sainte-Anne-d'Auray,Bretagne,2012,Musique,www.academie-musique-arts-sacres.fr,47.7009234212,-2.95341644757,septembre,décembre
Hip Open Dance,59000,Lille,Hauts-de-France,2019,Spectacle vivant,https://flow.lille.fr,50.6317183168,3.04783272312,janvier,juin
Vino Voce,33330,Saint-Émilion,Nouvelle-Aquitaine,2014,Musique,http://www.festivalvinovoce.com/,44.8999911844,-0.169955105989,septembre,décembre
Microscopies,59000,Lille,Hauts-de-France,2016,"Livre, littérature",lespinatas.com,50.6317183168,3.04783272312,septembre,décembre
Carbone 20,42100,Saint-Étienne,Auvergne-Rhône-Alpes,2018,"Arts visuels, arts numériques",biennale-carbone.com,45.4301235512,4.37913997076,janvier,juin
Festival Salsa Carnaval,87000,Limoges,Nouvelle-Aquitaine,2005,Spectacle vivant,http://www.endanse.com/,45.8542549589,1.2487579024,janvier,juin
Urbaka,87000,Limoges,Nouvelle-Aquitaine,1990,Spectacle vivant,http://www.urbaka.com/,45.8542549589,1.2487579024,juin,septembre
Champ Libre,87200,Saint-Junien,Nouvelle-Aquitaine,2016,Spectacle vivant,http://www.festivalchamplibre.com/,45.9024520048,0.887855844778,juin,septembre
Hors Cadres,39000,Lons-le-Saunier,Bourgogne-Franche-Comté,2018,"Arts visuels, arts numériques",pas de site internet,46.6744796278,5.55733212947,septembre,décembre
Fête Rebelle Et Fraternelle,44600,Saint-Nazaire,Pays de la Loire,2013,Musique,http://fete.nla44.fr/,47.2802857028,-2.25379927249,janvier,juin
